Language,Case,Case comment,default,Morphological,Noun type,Noun class,Number,Conditioning,Form,form_add,form_replace,form_delete,Prosodic form,prosody_clean,prosody_stress,prosody_tone,prosody_vowel_lengthening,Epenthesis,Intonation,Function,Optional,Reference,Notes,Quotes,Need_checking,Exclude
Seediq,vocative,,,deletion,"personal name, kinship term",,,,keep last syllable of stem only (Masaw -> Saw),,,CV...-,,,,,,,,,,Adelaar & Himmelmann (2005),,,,
Sierra Popoluca,vocative,no case,,prosodic,,,,,,,,,stress shift to final syllable,1,1,,,,stress shift to final syllable,,,de Jong Boudreault 2009,,"""Finally, as shown in (2.144), stress falls on the nal syllable on words (usuallykinship) used as vocatives to call out to someone or to get someone's attention.""",,
Sindhi,accusative,"not an accusative in the traditional sense, its called oblique here",,yes,,m,sg,-V,change of stem-final vowel to -e,,-e,,,,,,,,,,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,accusative,"not an accusative in the traditional sense, its called oblique here",,yes,,m,pl,-V,change of stem-final vowel to -@nl,,-enl,,,,,,,,,,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,accusative,"not an accusative in the traditional sense, its called oblique here",,yes,,f,sg,-V,change of stem-final vowel to -@,,-e,,,,,,,,,,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,accusative,"not an accusative in the traditional sense, its called oblique here",,yes,,f,pl,,zero,zero,,,,,,,,,,,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,vocative,,,yes,,m,sg,u_,E:- / ar`E:- (Interjection) + change of stem-final vowel to -a,ɛɛ-,-a,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,"""Noun can also be in
vocative case without interjection prefix. For example
the word dosta
is used individually with half long or
long stress like dosta: also means O friend."" (Rahman 2009: 79)",,
Sindhi,vocative,,,yes,,m,pl,,E:- / ar`E:- (Interjection) + change of stem-final vowel to -O,arɛɛ-,-ɔ,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,vocative,,,yes,,m,sg,u_,E:- / ar`E:- (Interjection) + change of stem-final vowel to -a,ɛɛ-,-a,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,"""Noun can also be in
vocative case without interjection prefix. For example
the word dosta
is used individually with half long or
long stress like dosta: also means O friend."" (Rahman 2009: 79)",,
Sindhi,vocative,,,yes,,m,pl,,E:- / ar`E:- (Interjection) + change of stem-final vowel to -O,arɛɛ-,-ɔ,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,vocative,,,yes,,f,sg,,zero,zero,,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,,,
Sindhi,vocative,,,yes,,f,pl,,zero,zero,,,,,,,,,,address,,"Khubchandani 2007, Rahman 2009",,,,
Somali,absolutive,,,yes,,,,,zero,zero,,,,,,,,,,,,Saeed 1999:59–63,,,,
Somali,nominative,,,yes,,,,,zero,zero,,,tonal change,1,,1,,,,,,Saeed 1999:59–63,,,,
Somali,vocative,,,yes,name,f,sg,,-èey,-eej,,,,,,,,,,"""reflects degrees of solidarity and respect""",,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,name,f,sg,o_,-òoy,-ooj,,,,,,,,,,"""reflects degrees of solidarity and respect""",,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,name,f,sg,a_,-àay,-aaj,,,,,,,,,,"""reflects degrees of solidarity and respect""",,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,name,,,,-òw,-ow,,,,,,,,,,"""reflects degrees of solidarity and respect""",,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,other noun,f,sg,,-yahay,-jahaj,,,,,,,,,,,,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,other noun,,,,-yohow,-johow,,,,,,,,,,,,Saeed 1999:64–65,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Somali,vocative,,,yes,name,,,,zero,zero,,,tonal change,1,,1,,,,,,Saeed 1999:59–63,"vocatives are exceptional in Somali in that they can be formed using suffixes – otherwise, case morphology in Somali relies largely on changes in tone patterns",,,
Southern Pomo,accusative,"""Patient case""",,yes,,,sg,prefixed with 1.person possessive,-to,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,accusative,"""Patient case""",,yes,,,pl,prefixed with 1.person possessive,-j(a)-Son,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,accusative,"""Patient case""",,yes,,,sg,not prefixed with 1.person possessive,-(e)n,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,nominative,"""Agentive case""",,yes,,,sg,prefixed with 1.person possessive,-(e)n,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,nominative,"""Agentive case""",,yes,,,pl,prefixed with 1.person possessive,-jej,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,nominative,"""Agentive case""",,yes,,,sg,not prefixed with 1.person possessive,zero,,,,,,,,,,,,,Walker 2013,,,,
Southern Pomo,vocative,,,deletion,proper noun,,,,drop feminine sufix (-men/?men) for vocative,,,-men,,,,,,,,,,Walker 2013,vocative kinship terms one of the few classes that have a final glottal stop,"""The vocative case in Southern Pomo is unique in three ways: (1) The formal vocative is the only corner of the language in which
disyllabic (or larger) words take no laryngeal increment.
(2) Vocative kinship terms (both formal and informal) are the only forms
which do not require a possessive prefix.
(3) Word-final glottal stops are only reported from some formal vocative
forms within the kinship terms.""",,
Southern Pomo,vocative,,,deletion,proper noun,,,,drop feminine sufix (-men/?men) for vocative,,,-ʔmen,,,,,,,,,,Walker 2013,,,,
Southern Pomo,vocative,,,yes,kinship term,,sg,,-eʔ,,,,no laryngeal increments,1,,,,,,,,Walker 2013,"check Kashaya Pomo (Oswalt 1961: 112), Northern Pomo O'Connor (1987: 159). phonetic alternations of it ||-eʔ|| -eʔ ~ -ʔ ~ -e ||-deʔ||
-deʔ ~ -de""",,,
Southern Pomo,vocative,,,yes,kinship term,,sg,,-deʔ,,,,no laryngeal increments,1,,,,,,,,Walker 2013,"check Kashaya Pomo (Oswalt 1961: 112), Northern Pomo O'Connor (1987: 159). phonetic alternations of it ||-eʔ|| -eʔ ~ -ʔ ~ -e ||-deʔ||
-deʔ ~ -de""",,,
Southern Pomo,vocative,,,yes,kinship term,,pl,prefixed with 1.person possessive,-jaʃo,,,,no laryngeal increments,1,,,,,,,,Walker 2013,phonetic alternations ||ja-So-|| -jaSo -jSo,,,
Sunwar,accusative,,,yes,,,,,-kali,-kali,,,,,,,,,,,,Borchers (2008),,,,
Sunwar,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Borchers (2008),,,,
Sunwar,vocative,,,yes,,,,,-au,-aw,,,,,,,,,,,,Borchers (2008),,,,
Tamil,accusative,,,yes,,,,,-ai,-aj,,,,,,,,,,,,Schiffman 2004,,,,
Tamil,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Schiffman 2004,"these are suffixes in ""Literary Tamil""; accusative is just -e in ""Spoken Tamil""",,,
Tamil,vocative,,,yes,,,,,-e:,-ee,,,,,,,,,,"addressing, calling",,Schiffman 2004,,,,
Tamil,vocative,,,yes,,,,,-a:,-aa,,,,,,,,,,"addressing, calling",,Schiffman 2004,,,,
Timucua,vocative,no case,,clitic,,,,,-lechu,-letʃu,,,,,,,,,,,,Granberry 1987,,,,
Toqabaqita,vocative,no case (but preverbal markers),,clitic,,,,,-?ae,-ʔæ,,,,,,,,,,"addressing, calling",,Lichtenberk 2008,,,,
Tukang Besi,"""nominative""","nominative is ""selected"" case, sth like topic etc. see Tagalog",,particle,,,,,na,na-,,,,,,,,,,,,Donohue 1999,,,,
Tukang Besi,non-nominative,,,particle,,,,,te,te-,,,,,,,,,,,,Donohue 1999,,,,
Tukang Besi,vocative,,,yes,,,,V_,-ó (replace final vowel),,-o,,accented,1,1,,,,,summon,,Donohue 1999,,,,
Turkish,accusative,,,yes,,,,V_,-ji,-ji,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,C_,-i,-i,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,V_,-ju,-ju,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,, C_,-u,-u,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,V_,-jy,-jy,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,C_,-y,-y,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,V_,-jɯ ,-jɯ ,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,accusative,,,yes,,,,C_,-ɯ,-ɯ,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Kornfilt 1997,,,,
Turkish,vocative,,,prosodic,,,,,,,,,stress on PU (instead of F),1,1,,,,,,,Göksel & Kerslake 2005,,,,
Turkish,vocative,,,particle,,,,poetry,ey ## __,ej-,,,,,,,,,,,,Kornfilt 1997,,,,
Turung,agentive,,,particle,,,,subject of transitive verb,i: (mid level tone),-ii,,,,,,,,,,,,Morey (2010),,,,
Turung,anti-agentive,,,particle,,,,animate direct object,phe: (high falling tone),-phee,,,,,,,,,,,,Morey (2010),,,,
Turung,vocative,,,yes,kinship term,,,,a- (low falling tone),a-,,,,,,,,,,,,Morey (2010),,,,
Udihe,accusative,,,yes,,class I ,,,-wA,-wA,,,,,,,,,,,,Nikolaeva & Tolskaya 2001,-A is a non-high harmonizing vowel,,,
Udihe,accusative,,,yes,,class II,,,-mA,-mA,,,,,,,,,,,,Nikolaeva & Tolskaya 2001,-A is a non-high harmonizing vowel,,,
Udihe,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Nikolaeva & Tolskaya 2001,,,,
Udihe,vocative,,,yes,,,,"{e,a,o,u}_",-i,-i,,,,,,,,,,address,,Nikolaeva & Tolskaya 2001,,"""It is always pronounced at a higher pitch with respect toother elements of the same clause"" (470)",,
Udihe,vocative,,,yes,,,,i_,-ie,-ie,,,,,,,,,,address,,Nikolaeva & Tolskaya 2001,,,,
Udihe,vocative,,,yes,,,,C_,-Ai,-Ai,,,,,,,,,,address,,Nikolaeva & Tolskaya 2001,-A is a non-high harmonizing vowel,,,
Wampis,accusative,,,yes,,,,, =na ,-na ,,,,,,,,,,,,Pena 2016,,,,
Wampis,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Pena 2016,,,,
Wampis,vocative,,,prosodic,"kinship term, foreign name",,,,,-V,,,"supression of apocope, high tone",1,,1,,,high tone,,,Pena 2016,,,,
Wampis,vocative,,,yes,kinship term,,,,-ua/-ta,-wa,,,high tone,1,,1,,,high tone,,,Pena 2016,,,,
Wampis,vocative,,,yes,kinship term,,,,-ua/-ta,-ta,,,high tone,1,,1,,,high tone,,,Pena 2016,,,,
Wampis,vocative,,,yes,foreign name,,,C_,-a,-a,,,high tone,1,,1,,,high tone,,,Pena 2016,,,,
Yakkha,ergative,,,clitic,,,,, =Na,-ŋa,,,,,,,,,,,,Schackow 2015,,,,
Yakkha,nominative,,,clitic,,,,,zero,zero,,,,,,,,,,,,Schackow 2015,,,,
Yakkha,vocative,,,clitic,,,,, =u,-u,,,,,,,,,,,,Schackow 2015,,,,
Yapese,vocative,,,deletion,,,,,,,,CV...-,shortening to CVC,,,,,,,,,Orkaydo 2013,,,,
Yandruwandha,vocative,,,yes,,,,V_,V# -> a#,,-a,,,,,,,,,,,Breen (2004),optional,,,
Yandruwandha,absolutive,,,yes,,,,,zero,zero,,,,,,,,,,,,Breen (2004),,,,
Yandruwandha,ergative,,,yes,,,,,-li,-li,,,,,,,,,,,,Breen (2004),,,,
Wirangu,vocative,,,yes,,,,,-yi,-ji,,,,,,,,,,,,Hercus (1999),,,,
Wirangu,absolutive,,,yes,,,,,zero,zero,,,,,,,,,,,,Hercus (1999),,,,
Wirangu,ergative,,,yes,,,,,-ngu,-ŋu,,,,,,,,,,,,Hercus (1999),,,,
Yalarnnga,vocative,,,yes,kinship term,,,V_,V# -> a#,,-a,,,,,,,,,,,Breen & Blake (2007),only attested in two forms for kinship terms,,,
Yalarnnga,absolutive,,,yes,kinship term,,,,zero,zero,,,,,,,,,,,,Breen & Blake (2007),,,,
Yalarnnga,ergative,,,yes,kinship term,,,,-lu,-lu,,,,,,,,,,,,Breen & Blake (2007),,,,
Mian,vocative,,,clitic,kinship term,,,, =o,-o,,,,,,,,,,,,Fedden (2011),,,,
!Gora,vocative,,,clitic,,,,, =e,-e,,,,,,,,,,,,Haacke (2013),,,,
!Gora,nominative,,,clitic,,,,, zero,zero,,,,,,,,,,,,Haacke (2013),,,,
!Gora,oblique,,,clitic,,,,, =a,-a,,,,,,,,,,,,Haacke (2013),,,,
Yintyingka,vocative,,,yes,,,,,-j,-j,,,,,,,,,,,,Verstraete & Rigsby (2015),,,,
Akoose,vocative,,,particle,names,,,,á ## __,a-,,,high tone; coalesces with initial vowel,1,,1,,,high tone,,,Hedinger (2008),,,,
Nkore-Kiga,vocative,,,particle,name / title / grouping of persons,,,,ai ##,aj-,,,,,,,,,,,,Taylor (1985),"optional; may also use ""iwe"" or ""imwe"", which mean 'you (pl.)'",,,
Khwe,vocative,,,yes,,,,,-è,-e,,,,,,,,,low tone,,,Kilian-Hatz (2008),,,,
Khwe,vocative,,,yes,,,,"{e,i}+__",-yè,-je,,,,,,,,,low tone,,,Kilian-Hatz (2008),,,,
Khwe,vocative,,,yes,,,,"{o,u}+__",-wè,-we,,,,,,,,,low tone,,,Kilian-Hatz (2008),,,,
Khwe,absolutive,,,yes,,,,,zero,zero,,,,,,,,,,,,Kilian-Hatz (2008),note: this is my interpretation based on their description of the behaviour of the á 'focus marker' on p. 55,,,
Khwe,ergative,,,particle,,,,,__ ## à,-a,,,,,,,,,low tone,,,Kilian-Hatz (2008),note: this is my interpretation based on their description of the behaviour of the á 'focus marker' on p. 55,,,
Herero,vocative,,,prosodic,,,,,loss of initial o- augment + extra high tone on first syllable,,,o-,extra high tone,1,,1,,,extra high tone,,,Möhlig & Kavari (2008),initial o- augment seems to be present by default for the vast majority of nouns,,,
Eton,vocative,,,particle,proper name / noun with human reference,,,,a ## __,a-,,,dissimilating high tone: low when following tone is high; high when following tone is low?,1,,1,,,dissimilating high tone,,,Van de Velde (2008),"not entirely sure about the tone here, so coding as simple high tone might be more appropriate",,,
Arapaho,vocative,,,yes,all terms of relationship,,,,-óó,-oo,,,high pitch accent,1,1,1,,,high tone,,,Cowell & Moss Sr. (2008),,,,
Arapaho,vocative,,,yes,all terms of relationship,,,,-hóó,-hoo,,,high pitch accent,1,1,1,,,high tone,,,Cowell & Moss Sr. (2008),,,,
Yup'ik,vocative,,,prosodic,personal names / kinship terms,,,,V -> VV / __C0#,zero,,,final vowel lengthening,1,,,1,,,,,Jacobson (1995),,,,
Yup'ik,vocative,,,deletion,personal names,,,,deletion of an unspecified number of segments (can be one / two whole syllables) at end,,,-...CV,segment deletion,,,,,,,,,Jacobson (1995),,,,
Yup'ik,absolutive,,,yes,,,,,zero,zero,,,,,,,,,,,,Jacobson (1995),,,,
Yup'ik,absolutive-modalis (indefinite object),,,yes,,,,,-mek,-mek,,,,,,,,,,,,Jacobson (1995),,,,
West Greenlandic,vocative,,,clitic,,,,, =aa,-aa,,,,,,,,,,,,Fortescue (1984),,,,
West Greenlandic,absolutive,,,clitic,,,singular,,-q,-q,,,,,,,,,,,,Fortescue (1984),,,,
West Greenlandic,absolutive,,,clitic,,,singular,,-k,-k,,,,,,,,,,,,Fortescue (1984),,,,
West Greenlandic,absolutive,,,clitic,,,singular,,-t,-t,,,,,,,,,,,,Fortescue (1984),,,,
West Greenlandic,absolutive,,,clitic,,,singular,,zero,zero,,,,,,,,,,,,Fortescue (1984),,,,
West Greenlandic,relative,,,clitic,,,singular,,-p,-p,,,,,,,,,,,,Fortescue (1984),,,,
West Greenlandic,relative,,,clitic,,,singular,,-up,-up,,,,,,,,,,,,Fortescue (1984),,,,
West Greenlandic,absolutive,,,clitic,,,plural,,-t,-t,,,,,,,,,,,,Fortescue (1984),,,,
West Greenlandic,absolutive,,,clitic,,,plural,,-it,-it,,,,,,,,,,,,Fortescue (1984),,,,
West Greenlandic,relative,,,clitic,,,plural,,-t,-t,,,,,,,,,,,,Fortescue (1984),,,,
West Greenlandic,relative,,,clitic,,,plural,,-it,-it,,,,,,,,,,,,Fortescue (1984),,,,
Ket,vocative,,,yes,some animate nouns,feminine,,,-á,-a,,,strong accent,1,1,,,,,,,Georg (2007),"""all vocative suffixes disrupt the prosodic structure of the paradigm by attracting a strong (dynamic) accent""",,,
Ket,vocative,,,yes,some animate nouns,feminine,,,-ə́,-ə,,,strong accent,1,1,,,,,,,Georg (2007),"""all vocative suffixes disrupt the prosodic structure of the paradigm by attracting a strong (dynamic) accent""",,,
Ket,vocative,,,yes,some animate nouns,masculine,,,-ó,-o,,,strong accent,1,1,,,,,,,Georg (2007),"""all vocative suffixes disrupt the prosodic structure of the paradigm by attracting a strong (dynamic) accent""",,,
Nivkh,vocative,,,yes,,,,C_,-a,-a,,,,,,,,,,,,Nedjalkov & Otaina (2013),,,,
Nivkh,vocative,,,prosodic,,,,u_,"V -> VV, optional opening (e.g. u -> o) ",,-o,,"V -> VV, optional opening (e.g. u -> o) ",1,,,1,,,,,Nedjalkov & Otaina (2013),,,,
Nivkh,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Gruzdeva (1998),,,,
Nivkh,accusative,,,yes,,,,,-aχ,-aχ,,,,,,,,,,,,Gruzdeva (1998),,,,
Nivkh,accusative,,,yes,,,,,-χ,-χ,,,,,,,,,,,,Gruzdeva (1998),,,,
Wolaytta,vocative,,,yes,,,,,-ej,-ej,,,,,,,,,,,,Lamberti & Sottile (1997),,,,
Wolaytta,vocative,,,yes,,,,,-ow,-ow,,,,,,,,,,,,Lamberti & Sottile (1997),,,,
Wolaytta,subject case,,,yes,,"classes I, II, III",singular,,-j,-j,,,,,,,,,,,,Lamberti & Sottile (1997),,,,
Wolaytta,subject case,,,yes,,class IV,singular,,-ja,-ja,,,,,,,,,,,,Lamberti & Sottile (1997),,,,
Wolaytta,subject case,,,yes,,,plural,,-i,-i,,,,,,,,,,,,Lamberti & Sottile (1997),,,,
Wolaytta,subject case,,,yes,,class I,,,-a,-a,,,,,,,,,,,,Lamberti & Sottile (1997),,,,
Wolaytta,subject case,,,yes,,class II,,,-ij,-ij,,,,,,,,,,,,Lamberti & Sottile (1997),,,,
Wolaytta,subject case,,,yes,,class III,,,-uw,-uw,,,,,,,,,,,,Lamberti & Sottile (1997),,,,
Wolaytta,subject case,,,yes,,class IV,,,-j,-j,,,,,,,,,,,,Lamberti & Sottile (1997),,,,
Wolaytta,subject case,,,yes,,,plural,,-a,-a,,,,,,,,,,,,Lamberti & Sottile (1997),,,,
Kickapoo,vocative,,,yes,,,singular,,-e,-e,,,,,,,,,,,,Voorhis (1974),,,,
Kickapoo,vocative,,,yes,,,plural,,-etike,-etike,,,,,,,,,,,,Voorhis (1974),,,,
Crow,vocative,,,prosodic,personal names and kin terms,,,final short vowel,V -> VV,zero,,,final V lengthening,1,,,1,,,,,Graczyk (2007),,,,
Plains Cree,vocative,,,yes,kin terms and nouns of intimate possession,,singular,,-ee,-ee,,,,,,,,,,,,Wolfart (1969),,,,
Plains Cree,vocative,,,"deletion, prosodic",kin terms and nouns of intimate possession,,singular,,loss of final syllable,,,-CV,remaining final V may lengthen if short ,1,,,1,,,,,Wolfart (1969),"""The vocative singular frequently ends in a long vowel; this fact may well be related to phenomena of rhetorical distortion.""",,,
Plains Cree,vocative,,,yes,kin terms and nouns of intimate possession,,plural,,-etik,-etik,,,,,,,,,,,,Wolfart (1969),,,,
Witsuwit'en,vocative,,,yes,some kin terms,,,,-ʔ,-ʔ,,,,,,,,,,,,Hargus (2007),"""It is tempting to posit a vocative suffix -ʔ for Witsuwit'en.""",,,
Nez Perce,vocative,,,yes,grandparent to grandchild,,,,-e,-e,,,,,,,,,,,,Aoki (1970),,,,
Nez Perce,vocative,,,yes,senior referent,,,,-eʔ,-eʔ,,,,,,,,,,,,Aoki (1970),,,,
Nez Perce,nominative,,,yes,,,,after thematic suffix,-m,-m,,,,,,,,,,,,Aoki (1970),,,,
Nez Perce,nominative,,,yes,,,,after /n/,-im,-im,,,,,,,,,,,,Aoki (1970),,,,
Nez Perce,nominative,,,yes,,,,after a vowel,-nm,-nm,,,,,,,,,,,,Aoki (1970),,,,
Nez Perce,nominative,,,yes,,,,elsewhere,-nim,-nim,,,,,,,,,,,,Aoki (1970),,,,
Nez Perce,objective,,,yes,,,,,-ne,-ne,,,,,,,,,,,,Aoki (1970),,,,
Miami-Illinois,vocative,,,yes,,,singular,,-e,-e,,,,,,,,,,,,Costa (2003),,,,
Miami-Illinois,vocative,,,yes,,,plural,,-enka,-enka,,,,,,,,,,,,Costa (2003),,,,
Bora,vocative,,,yes,,,,,-h,-h,,,,,,,,,,,,Thiesen & Weber (2012),"marked as -^{x} = ""preaspiration""; but the book suggests it could be an allophone of /h/",,,
Bora,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Thiesen & Weber (2012),,,,
Bora,direct object,,,yes,,animate,,,-ke,-ke,,,,,,,,,,,,Thiesen & Weber (2012),aspirated k,,,
Bora,direct object,,,yes,,inanimate,,,zero,zero,,,,,,,,,,,,Thiesen & Weber (2012),,,,
Chiapas Zoque,vocative,,,yes,,,,, =y,-j,,,,,,,,,,,,Faarlund (2012),,,,
Chiapas Zoque,absolutive,,,yes,,,,,zero,zero,,,,,,,,,,,,Faarlund (2012),,,,
Chiapas Zoque,ergative,,,yes,,,,, =ʔis,-ʔis,,,,,,,,,,,,Faarlund (2012),,,,
Nahuatl,vocative,,,yes,person,,,used by men,-é,-e,,,"accented, stress-shift from penult to vocative suffix",1,1,,,,,,,Sullivan (1988),,,,
Nahuatl,vocative,,,prosodic,person,,,used by women,"stress-shift to final syllable, ""raised voice""",zero,,,"stress-shift to final from penult, raised voice",1,1,,,,raised voice,,,Sullivan (1988),,,,
Nahuatl,vocative,,,particle,person,,,used by both,in ## __,in-,,,,,,,,,,,,Sullivan (1988),,,,
Tariana,vocative,,,prosodic,,,,,delete gender suffix (final syllable),,,-CV,delete final syll,,,,,,,,,Aikhenvald (2006),,,,
Tariana,vocative,,,prosodic,,,,,stress-shift to final syllable from penult,,,,stress shift penult > ult,1,1,,,,,,,Aikhenvald (2006),,,,
Tariana,vocative,,,prosodic,,,,,"delete gender suffix, stress shift",,,-CV,stress shift penult > ult,1,1,,,,,,,Aikhenvald (2006),,,,
Pirahã,vocative,,,particle,proper noun,,,,ko ## __,ko-,,,,,,,,,,,,Everett (1986),,,,
Nuxalk,vocative,,,prosodic,,,,,,,,,adds moras in a variety of ways to achieve a 4/5 mora template,1,,,,Yes,,,,Bagemihl 1998,,,,